author,reading,initial,pdf_link
こばた てるみ,こばたてるみ,か,https://www.jstage.jst.go.jp/article/jbrewsocjapan/114/4/114_166/_pdf/-char/ja
J.コリン スローター,J.Colin SLAUGHT,J,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/93/9/93_9_730/_pdf/-char/ja
ジョティ・タマン,Jyoti Prakash TAMAN,J,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/2/95_2_115/_pdf/-char/ja
ドゥニ・デュブルデュー,Denis DUBOURDI,D,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/98/9/98_9_628/_pdf/-char/ja
トラン・リン・トク,Tran Linh THUOC,T,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/97/5/97_5_327/_pdf/-char/ja
ビール酒造組合,びーるしゅぞうくみあい,は,https://www.jstage.jst.go.jp/article/jbrewsocjapan/115/8/115_444/_pdf/-char/ja
ビール酒造組合国際技術委員会,びーるしゅぞうくみあいこくさいぎじゅついいんかい,は,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/92/5/92_5_364/_pdf/-char/ja
クリス・ピアス,Chris Pearce,C,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/97/7/97_7_484/_pdf/-char/ja
ファム ティー ゴック ジェップ,Thi Ngoc Diep Pham,T,https://www.jstage.jst.go.jp/article/jbrewsocjapan/114/7/114_447/_pdf/-char/ja
J. W. ベネット,J. W. Bennett,J,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/96/11/96_11_743/_pdf/-char/ja
トーマス ベルベリッヒ,Thomas BERBERICH,T,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/89/7/89_7_505/_pdf/-char/ja
ファム・タン・ホウ,Pham Thanh Ho,P,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/97/5/97_5_327/_pdf/-char/ja
一島 英治,いちしまえいじ,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_17/_pdf/-char/ja
一松 時生,いちまつときお,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/103/12/103_12_949/_pdf/-char/ja
一瀬 英志,いちのせえいじ,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/86/6/86_6_447/_pdf/-char/ja
一色 美孝,いっしきよしたか,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan/116/5/116_311/_pdf/-char/ja
一花 薫,いちはなかおる,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/86/5/86_5_327/_pdf/-char/ja
一見 敏男,いちみとしお,あ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/84/9/84_9_576/_pdf/-char/ja
七谷 圭,ななたにけい,な,https://www.jstage.jst.go.jp/article/jbrewsocjapan/106/4/106_190/_pdf/-char/ja
万膳 博幸,まんぜんひろゆき,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/111/8/111_556/_pdf/-char/ja
三ツ井 敏明,みついとしあき,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/112/5/112_323/_pdf/-char/ja
三上 慶浩,みかみよしひろ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/101/3/101_3_178/_pdf/-char/ja
三上 重明,みかみしげあき,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/4/83_4_256/_pdf/-char/ja
三上 隆司,みかみたかし,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/5/88_5_402/_pdf/-char/ja
三井 亮司,みついりょうじ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/114/1/114_43/_pdf/-char/ja
三井 俊,みついしゅん,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/113/6/113_383/_pdf/-char/ja
三井 俊介,みついしゅんすけ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/90/9/90_9_693/_pdf/-char/ja
三代 恭広,みしろやすひろ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/90/11/90_11_871/_pdf/-char/ja
三坂 巧,みさかたくみ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/118/1/118_2/_pdf/-char/ja
三宅 優,みやけゆう,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/98/9/98_9_649/_pdf/-char/ja
三宅 剛史,みやけたけし,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/106/10/106_687/_pdf/-char/ja
三宅 義明,みやけよしあき,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/102/4/102_4_243/_pdf/-char/ja
三島 健,みしまけん,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/9/88_9_660/_pdf/-char/ja
三島 秀夫,みしまひでお,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/3/83_3_195/_pdf/-char/ja
三木 健夫,みきたけお,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/103/12/103_12_954/_pdf/-char/ja
三木 淳史,みきあつし,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/102/2/102_2_90/_pdf/-char/ja
三村 昭彦,みむらあきひこ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan/111/1/111_49/_pdf/-char/ja
三林 憲忠,みつばやしのりただ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/101/3/101_3_133/_pdf/-char/ja
三枝 敬明,さえぐさたかあき,さ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/95/3/95_3_207/_pdf/-char/ja
三枝 維彦,さえぐさすみひこ,さ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/89/6/89_6_435/_pdf/-char/ja
三枝 静江,さえぐさしずえ,さ,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/100/8/100_8_530/_pdf/-char/ja
三森 智子,みもりともこ,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/9/83_9_627/_pdf/-char/ja
三沢 啓志,みさわひろし,ま,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/85/8/85_8_525/_pdf/-char/ja
